anio,mes,fecha,dia_semana,fin_semana,alta_ab_anual_dia,alta_ab_anual_mes,alta_ab_1d_dia,alta_ab_3d_dia,alta_ab_5d_dia,alta_ab_ocas_dia,alta_ab_1d_mes,alta_ab_3d_mes,alta_ab_5d_mes,alta_ab_ocas_mes,ab_anual_total,ab_1d_total,ab_3d_total,ab_5d_total,ab_ocas_total
2022,1,2022-01-01,6,1,-16,-16,36,4,1,41,36,4,1,41,67986,147719,14062,6522,168303
2022,1,2022-01-02,0,1,19,3,22,1,0,23,58,5,1,64,68005,147741,14063,6522,168326
2022,1,2022-01-03,1,0,15,18,12,1,2,15,70,6,3,79,68020,147753,14064,6524,168341
2022,1,2022-01-04,2,0,-27,-9,2,0,0,2,72,6,3,81,67993,147755,14064,6524,168343
2022,1,2022-01-05,3,0,-37,-46,3,0,0,3,75,6,3,84,67956,147758,14064,6524,168346
2022,1,2022-01-06,4,0,-19,-65,4,0,0,4,79,6,3,88,67937,147762,14064,6524,168350
2022,1,2022-01-07,5,0,22,-43,5,0,0,5,84,6,3,93,67959,147767,14064,6524,168355
2022,1,2022-01-08,6,1,-72,-115,13,0,0,13,97,6,3,106,67887,147780,14064,6524,168368
2022,1,2022-01-09,0,1,20,-95,14,0,0,14,111,6,3,120,67907,147794,14064,6524,168382
2022,1,2022-01-10,1,0,19,-76,1,0,0,1,112,6,3,121,67926,147795,14064,6524,168383
2022,1,2022-01-11,2,0,-10,-86,7,0,0,7,119,6,3,128,67916,147802,14064,6524,168390
2022,1,2022-01-12,3,0,5,-81,5,1,0,6,124,7,3,134,67921,147807,14065,6524,168396
2022,1,2022-01-13,4,0,3,-78,3,0,0,3,127,7,3,137,67924,147810,14065,6524,168399
2022,1,2022-01-14,5,0,-10,-88,4,0,0,4,131,7,3,141,67914,147814,14065,6524,168403
2022,1,2022-01-15,6,1,-72,-160,17,0,0,17,148,7,3,158,67842,147831,14065,6524,168420
2022,1,2022-01-16,0,1,18,-142,17,0,1,18,165,7,4,176,67860,147848,14065,6525,168438
2022,1,2022-01-17,1,0,14,-128,4,0,0,4,169,7,4,180,67874,147852,14065,6525,168442
2022,1,2022-01-18,2,0,0,-128,2,1,0,3,171,8,4,183,67874,147854,14066,6525,168445
2022,1,2022-01-19,3,0,-19,-147,3,1,0,4,174,9,4,187,67855,147857,14067,6525,168449
2022,1,2022-01-20,4,0,-27,-174,1,0,0,1,175,9,4,188,67828,147858,14067,6525,168450
2022,1,2022-01-21,5,0,-47,-221,7,0,1,8,182,9,5,196,67781,147865,14067,6526,168458
2022,1,2022-01-22,6,1,-3,-224,25,1,0,26,207,10,5,222,67778,147890,14068,6526,168484
2022,1,2022-01-23,0,1,19,-205,5,1,0,6,212,11,5,228,67797,147895,14069,6526,168490
2022,1,2022-01-24,1,0,17,-188,2,0,0,2,214,11,5,230,67814,147897,14069,6526,168492
2022,1,2022-01-25,2,0,-10,-198,7,0,0,7,221,11,5,237,67804,147904,14069,6526,168499
2022,1,2022-01-26,3,0,-2,-200,4,0,0,4,225,11,5,241,67802,147908,14069,6526,168503
2022,1,2022-01-27,4,0,3,-197,4,0,1,5,229,11,6,246,67805,147912,14069,6527,168508
2022,1,2022-01-28,5,0,-39,-236,12,0,0,12,241,11,6,258,67766,147924,14069,6527,168520
2022,1,2022-01-29,6,1,28,-208,13,2,1,16,254,13,7,274,67794,147937,14071,6528,168536
2022,1,2022-01-30,0,1,28,-180,11,0,0,11,265,13,7,285,67822,147948,14071,6528,168547
2022,1,2022-01-31,1,0,20,-160,9,0,0,9,274,13,7,294,67842,147957,14071,6528,168556
2022,2,2022-02-01,2,0,1,1,1,0,0,1,1,0,0,1,67843,147958,14071,6528,168557
2022,2,2022-02-02,3,0,-20,-19,10,0,0,10,11,0,0,11,67823,147968,14071,6528,168567
2022,2,2022-02-03,4,0,16,-3,6,0,1,7,17,0,1,18,67839,147974,14071,6529,168574
2022,2,2022-02-04,5,0,-58,-61,6,4,1,11,23,4,2,29,67781,147980,14075,6530,168585
2022,2,2022-02-05,6,1,24,-37,16,4,0,20,39,8,2,49,67805,147996,14079,6530,168605
2022,2,2022-02-06,0,1,32,-5,23,1,0,24,62,9,2,73,67837,148019,14080,6530,168629
2022,2,2022-02-07,1,0,22,17,4,0,2,6,66,9,4,79,67859,148023,14080,6532,168635
2022,2,2022-02-08,2,0,8,25,9,0,0,9,75,9,4,88,67867,148032,14080,6532,168644
2022,2,2022-02-09,3,0,-4,21,8,2,1,11,83,11,5,99,67863,148040,14082,6533,168655
2022,2,2022-02-10,4,0,-10,11,9,0,2,11,92,11,7,110,67853,148049,14082,6535,168666
2022,2,2022-02-11,5,0,-56,-45,6,5,0,11,98,16,7,121,67797,148055,14087,6535,168677
2022,2,2022-02-12,6,1,25,-20,27,2,0,29,125,18,7,150,67822,148082,14089,6535,168706
2022,2,2022-02-13,0,1,6,-14,22,1,1,24,147,19,8,174,67828,148104,14090,6536,168730
2022,2,2022-02-14,1,0,13,-1,6,2,0,8,153,21,8,182,67841,148110,14092,6536,168738
2022,2,2022-02-15,2,0,-4,-5,8,2,1,11,161,23,9,193,67837,148118,14094,6537,168749
2022,2,2022-02-16,3,0,-24,-29,8,0,0,8,169,23,9,201,67813,148126,14094,6537,168757
2022,2,2022-02-17,4,0,-2,-31,4,2,0,6,173,25,9,207,67811,148130,14096,6537,168763
2022,2,2022-02-18,5,0,-38,-69,13,9,0,22,186,34,9,229,67773,148143,14105,6537,168785
2022,2,2022-02-19,6,1,-16,-85,6,2,0,8,192,36,9,237,67757,148149,14107,6537,168793
2022,2,2022-02-20,0,1,10,-75,28,0,1,29,220,36,10,266,67767,148177,14107,6538,168822
2022,2,2022-02-21,1,0,17,-58,12,1,0,13,232,37,10,279,67784,148189,14108,6538,168835
2022,2,2022-02-22,2,0,-17,-75,9,1,0,10,241,38,10,289,67767,148198,14109,6538,168845
2022,2,2022-02-23,3,0,-14,-89,15,1,0,16,256,39,10,305,67753,148213,14110,6538,168861
2022,2,2022-02-24,4,0,-22,-111,10,0,2,12,266,39,12,317,67731,148223,14110,6540,168873
2022,2,2022-02-25,5,0,-71,-182,2,0,0,2,268,39,12,319,67660,148225,14110,6540,168875
2022,2,2022-02-26,6,1,-44,-226,13,0,0,13,281,39,12,332,67616,148238,14110,6540,168888
2022,2,2022-02-27,0,1,10,-216,20,3,0,23,301,42,12,355,67626,148258,14113,6540,168911
2022,2,2022-02-28,1,0,6,-210,9,8,2,19,310,50,14,374,67632,148267,14121,6542,168930
2022,3,2022-03-01,2,0,-11,-11,14,0,2,16,14,0,2,16,67621,148281,14121,6544,168946
2022,3,2022-03-02,3,0,-31,-42,6,1,1,8,20,1,3,24,67590,148287,14122,6545,168954
2022,3,2022-03-03,4,0,-29,-71,2,0,0,2,22,1,3,26,67561,148289,14122,6545,168956
2022,3,2022-03-04,5,0,-107,-178,21,0,0,21,43,1,3,47,67454,148310,14122,6545,168977
2022,3,2022-03-05,6,1,4,-174,26,3,0,29,69,4,3,76,67458,148336,14125,6545,169006
2022,3,2022-03-06,0,1,37,-137,17,1,1,19,86,5,4,95,67495,148353,14126,6546,169025
2022,3,2022-03-07,1,0,-10,-147,6,1,1,8,92,6,5,103,67485,148359,14127,6547,169033
2022,3,2022-03-08,2,0,-29,-176,7,2,1,10,99,8,6,113,67456,148366,14129,6548,169043
2022,3,2022-03-09,3,0,-30,-206,6,2,0,8,105,10,6,121,67426,148372,14131,6548,169051
2022,3,2022-03-10,4,0,-1,-207,7,1,0,8,112,11,6,129,67425,148379,14132,6548,169059
2022,3,2022-03-11,5,0,-133,-340,3,3,0,6,115,14,6,135,67292,148382,14135,6548,169065
2022,3,2022-03-12,6,1,4,-336,23,1,3,27,138,15,9,162,67296,148405,14136,6551,169092
2022,3,2022-03-13,0,1,25,-311,28,0,0,28,166,15,9,190,67321,148433,14136,6551,169120
2022,3,2022-03-14,1,0,-4,-315,0,0,0,0,166,15,9,190,67317,148433,14136,6551,169120
2022,3,2022-03-15,2,0,-27,-342,3,1,1,5,169,16,10,195,67290,148436,14137,6552,169125
2022,3,2022-03-16,3,0,-31,-373,12,3,0,15,181,19,10,210,67259,148448,14140,6552,169140
2022,3,2022-03-17,4,0,-25,-398,4,0,1,5,185,19,11,215,67234,148452,14140,6553,169145
2022,3,2022-03-18,5,0,-33,-431,14,3,0,17,199,22,11,232,67201,148466,14143,6553,169162
2022,3,2022-03-19,6,1,-57,-488,21,6,3,30,220,28,14,262,67144,148487,14149,6556,169192
2022,3,2022-03-20,0,1,12,-476,19,0,0,19,239,28,14,281,67156,148506,14149,6556,169211
2022,3,2022-03-21,1,0,-1,-477,0,0,0,0,239,28,14,281,67155,148506,14149,6556,169211
2022,3,2022-03-22,2,0,-24,-501,4,1,0,5,243,29,14,286,67131,148510,14150,6556,169216
2022,3,2022-03-23,3,0,-45,-546,8,2,0,10,251,31,14,296,67086,148518,14152,6556,169226
2022,3,2022-03-24,4,0,-22,-568,0,1,0,1,251,32,14,297,67064,148518,14153,6556,169227
2022,3,2022-03-25,5,0,-119,-687,10,1,1,12,261,33,15,309,66945,148528,14154,6557,169239
2022,3,2022-03-26,6,1,-22,-709,19,1,0,20,280,34,15,329,66923,148547,14155,6557,169259
2022,3,2022-03-27,0,1,41,-668,22,0,1,23,302,34,16,352,66964,148569,14155,6558,169282
2022,3,2022-03-28,1,0,22,-646,11,0,0,11,313,34,16,363,66986,148580,14155,6558,169293
2022,3,2022-03-29,2,0,-5,-651,2,3,0,5,315,37,16,368,66981,148582,14158,6558,169298
2022,3,2022-03-30,3,0,-37,-688,2,0,0,2,317,37,16,370,66944,148584,14158,6558,169300
2022,3,2022-03-31,4,0,-20,-708,8,2,0,10,325,39,16,380,66924,148592,14160,6558,169310
2022,4,2022-04-01,5,0,-101,-101,7,0,0,7,7,0,0,7,66823,148599,14160,6558,169317
2022,4,2022-04-02,6,1,-8,-109,10,3,2,15,17,3,2,22,66815,148609,14163,6560,169332
2022,4,2022-04-03,0,1,8,-101,17,0,0,17,34,3,2,39,66823,148626,14163,6560,169349
2022,4,2022-04-04,1,0,-2,-103,6,0,0,6,40,3,2,45,66821,148632,14163,6560,169355
2022,4,2022-04-05,2,0,-22,-125,5,1,0,6,45,4,2,51,66799,148637,14164,6560,169361
2022,4,2022-04-06,3,0,-43,-168,5,0,0,5,50,4,2,56,66756,148642,14164,6560,169366
2022,4,2022-04-07,4,0,-32,-200,6,4,0,10,56,8,2,66,66724,148648,14168,6560,169376
2022,4,2022-04-08,5,0,-102,-302,7,4,1,12,63,12,3,78,66622,148655,14172,6561,169388
2022,4,2022-04-09,6,1,-30,-332,23,7,0,30,86,19,3,108,66592,148678,14179,6561,169418
2022,4,2022-04-10,0,1,28,-304,26,0,0,26,112,19,3,134,66620,148704,14179,6561,169444
2022,4,2022-04-11,1,0,27,-277,23,2,0,25,135,21,3,159,66647,148727,14181,6561,169469
2022,4,2022-04-12,2,0,-48,-325,9,0,1,10,144,21,4,169,66599,148736,14181,6562,169479
2022,4,2022-04-13,3,0,-17,-342,13,4,1,18,157,25,5,187,66582,148749,14185,6563,169497
2022,4,2022-04-14,4,0,-33,-375,30,3,0,33,187,28,5,220,66549,148779,14188,6563,169530
2022,4,2022-04-15,5,0,42,-333,20,1,1,22,207,29,6,242,66591,148799,14189,6564,169552
2022,4,2022-04-16,6,1,34,-299,34,5,1,40,241,34,7,282,66625,148833,14194,6565,169592
2022,4,2022-04-17,0,1,24,-275,32,3,0,35,273,37,7,317,66649,148865,14197,6565,169627
2022,4,2022-04-18,1,0,37,-238,22,0,0,22,295,37,7,339,66686,148887,14197,6565,169649
2022,4,2022-04-19,2,0,-142,-380,1,1,0,2,296,38,7,341,66544,148888,14198,6565,169651
2022,4,2022-04-20,3,0,-56,-436,1,0,3,4,297,38,10,345,66488,148889,14198,6568,169655
2022,4,2022-04-21,4,0,-15,-451,10,1,0,11,307,39,10,356,66473,148899,14199,6568,169666
2022,4,2022-04-22,5,0,-52,-503,1,0,0,1,308,39,10,357,66421,148900,14199,6568,169667
2022,4,2022-04-23,6,1,-40,-543,6,1,0,7,314,40,10,364,66381,148906,14200,6568,169674
2022,4,2022-04-24,0,1,22,-521,32,2,1,35,346,42,11,399,66403,148938,14202,6569,169709
2022,4,2022-04-25,1,0,26,-495,17,3,1,21,363,45,12,420,66429,148955,14205,6570,169730
2022,4,2022-04-26,2,0,-117,-612,14,1,0,15,377,46,12,435,66312,148969,14206,6570,169745
2022,4,2022-04-27,3,0,-40,-652,8,0,0,8,385,46,12,443,66272,148977,14206,6570,169753
2022,4,2022-04-28,4,0,-33,-685,2,2,5,9,387,48,17,452,66239,148979,14208,6575,169762
2022,4,2022-04-29,5,0,-124,-809,19,4,3,26,406,52,20,478,66115,148998,14212,6578,169788
2022,4,2022-04-30,6,1,18,-791,22,7,0,29,428,59,20,507,66133,149020,14219,6578,169817
2022,5,2022-05-01,0,1,28,28,48,3,4,55,48,3,4,55,66161,149068,14222,6582,169872
2022,5,2022-05-02,1,0,24,52,21,3,0,24,69,6,4,79,66185,149089,14225,6582,169896
2022,5,2022-05-03,2,0,18,70,4,0,1,5,73,6,5,84,66203,149093,14225,6583,169901
2022,5,2022-05-04,3,0,-66,4,11,3,1,15,84,9,6,99,66137,149104,14228,6584,169916
2022,5,2022-05-05,4,0,-77,-73,8,2,5,15,92,11,11,114,66060,149112,14230,6589,169931
2022,5,2022-05-06,5,0,-70,-143,13,4,1,18,105,15,12,132,65990,149125,14234,6590,169949
2022,5,2022-05-07,6,1,-150,-293,43,3,1,47,148,18,13,179,65840,149168,14237,6591,169996
2022,5,2022-05-08,0,1,4,-289,52,2,0,54,200,20,13,233,65844,149220,14239,6591,170050
2022,5,2022-05-09,1,0,31,-258,15,0,0,15,215,20,13,248,65875,149235,14239,6591,170065
2022,5,2022-05-10,2,0,-31,-289,9,0,0,9,224,20,13,257,65844,149244,14239,6591,170074
2022,5,2022-05-11,3,0,-28,-317,1,1,0,2,225,21,13,259,65816,149245,14240,6591,170076
2022,5,2022-05-12,4,0,-68,-385,12,6,0,18,237,27,13,277,65748,149257,14246,6591,170094
2022,5,2022-05-13,5,0,-28,-413,9,0,0,9,246,27,13,286,65720,149266,14246,6591,170103
2022,5,2022-05-14,6,1,-221,-634,13,7,0,20,259,34,13,306,65499,149279,14253,6591,170123
2022,5,2022-05-15,0,1,26,-608,21,1,0,22,280,35,13,328,65525,149300,14254,6591,170145
2022,5,2022-05-16,1,0,47,-561,20,3,0,23,300,38,13,351,65572,149320,14257,6591,170168
2022,5,2022-05-17,2,0,39,-522,5,1,0,6,305,39,13,357,65611,149325,14258,6591,170174
2022,5,2022-05-18,3,0,-100,-622,3,1,1,5,308,40,14,362,65511,149328,14259,6592,170179
2022,5,2022-05-19,4,0,-93,-715,6,0,1,7,314,40,15,369,65418,149334,14259,6593,170186
2022,5,2022-05-20,5,0,-90,-805,9,2,0,11,323,42,15,380,65328,149343,14261,6593,170197
2022,5,2022-05-21,6,1,-240,-1045,10,0,0,10,333,42,15,390,65088,149353,14261,6593,170207
2022,5,2022-05-22,0,1,22,-1023,24,0,1,25,357,42,16,415,65110,149377,14261,6594,170232
2022,5,2022-05-23,1,0,20,-1003,4,0,1,5,361,42,17,420,65130,149381,14261,6595,170237
2022,5,2022-05-24,2,0,-84,-1087,9,0,0,9,370,42,17,429,65046,149390,14261,6595,170246
2022,5,2022-05-25,3,0,-46,-1133,3,1,1,5,373,43,18,434,65000,149393,14262,6596,170251
2022,5,2022-05-26,4,0,-49,-1182,15,3,2,20,388,46,20,454,64951,149408,14265,6598,170271
2022,5,2022-05-27,5,0,-30,-1212,12,7,3,22,400,53,23,476,64921,149420,14272,6601,170293
2022,5,2022-05-28,6,1,-247,-1459,46,2,0,48,446,55,23,524,64674,149466,14274,6601,170341
2022,5,2022-05-29,0,1,35,-1424,26,2,2,30,472,57,25,554,64709,149492,14276,6603,170371
2022,5,2022-05-30,1,0,6,-1418,10,1,0,11,482,58,25,565,64715,149502,14277,6603,170382
2022,5,2022-05-31,2,0,-37,-1455,8,0,0,8,490,58,25,573,64678,149510,14277,6603,170390
